id;reference_number;species_number;record;sampled_habitat;active_methods;passive_methods;complementary_methods;period;month_start;year_start;month_finish;year_finish;effort_months;country;state;state_abbreviation;municipality;site;latitude;longitude;coordinate_precision;altitude;temperature;precipitation
amp1699;1245;17;co;fo,tp,ll,is;as;NA;ae,tp;mo,da,tw,ni; 9;2008; 8;2009; 11;Brazil;São Paulo;BR-SP;Sorocaba;Parque Municipal Mário Covas;-23,421111;-47,36444;gms; 584;19,42;1258
amp1700;1246;19;ab;la;as;NA;ae;tw,ni; 8;1999; 7;2000; 11;Brazil;São Paulo;BR-SP;São Miguel Arcanjo;Parque Estadual Carlos Botelho;-24,060833;-47,98861;gm; 788;17,65;1382
amp1701;1247;20;co;tp,pp,re;as;NA;NA;tw,ni; 2;1993;12;1993; 10;Brazil;São Paulo;BR-SP;Peruíbe;Estação Ecológica Juréia-Itatins;-24,390000;-47,01278;gms;  21;NA;NA
amp1702;1248;23;ab;tp,sp,is;as,sb;NA;NA;NA; 7;2005; 3;2007; 20;Brazil;São Paulo;BR-SP;Vitória Brasil;NA;-20,202778;-50,49750;gms; 482;22,41;1182
amp1703;1248;23;ab;tp,sp,pp;as,sb;NA;NA;NA; 7;2005; 3;2007; 20;Brazil;São Paulo;BR-SP;Palestina;NA;-20,358056;-49,28194;gms; 444;23,49;1249
amp1704;1248;29;ab;pp,is;as,sb;NA;NA;NA; 7;2005; 3;2007; 20;Brazil;São Paulo;BR-SP;Atibaia;NA;-23,182500;-46,52361;gms;1293;15,73;1541
amp1705;1249;11;co;pp,is;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Parque Ecológico do Baguaçú;-21,219444;-50,42944;dd; 357;22,56;1236
amp1706;1249; 6;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Lagoa do Miguelão;-21,187500;-50,44806;dd; 400;22,35;1241
amp1707;1249; 5;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Lagoa das Flores;-21,207778;-50,46000;dd; 411;22,20;1252
amp1708;1249; 9;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Lagoa da Unesp;-21,183611;-50,43472;dd; 387;22,43;1230
amp1709;1249;10;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Chácara Ariane;-21,237222;-50,41056;dd; 394;22,31;1199
amp1710;1249; 2;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;Rancho Calamar;-21,229167;-50,41167;dd; 391;22,36;1210
amp1711;1249;20;co;pp;as;NA;NA;ni;11;2011; 4;2012;  5;Brazil;São Paulo;BR-SP;Araçatuba;NA;-21,235556;-50,38444;dd; 397;22,24;1191
amp1712;1250;45;co;fo,ll;NA;pt;NA;mo,da,tw,ni; 2;2000; 1;2001; 11;Brazil;São Paulo;BR-SP;Pilar do Sul;Fazenda João XXIII;-23,904167;-47,69167;gms; 796;17,61;1473
amp1713;1251;15;co;tp,la;as;NA;NA;da,tw,ni; 9;2006; 8;2008; 23;Brazil;São Paulo;BR-SP;Palestina;NA;-20,390000;-49,43306;gms; 539;22,95;1247
amp1714;1252;12;ab;fo;NA;pt;NA;mo,da,tw,ni;10;2009; 9;2010; 11;Brazil;São Paulo;BR-SP;Luiz Antônio;Estação Ecológica de Jataí;-21,611944;-47,78972;gm; 565;21,60;1370
amp1715;1253;33;ab;la,is;as;NA;NA;NA;NA;NA;NA;NA;NA;Brazil;São Paulo;BR-SP;Salesópolis;Parque Estadual Carlos Botelho;-23,646667;-45,86056;gm; 884;17,10;2073
amp1716;1254;10;co;fo,ll,re;qs;NA;NA;da,tw,ni;10;2007; 3;2008;  5;Brazil;São Paulo;BR-SP;Cananéia;Ilha do Cardoso;-25,091667;-47,92833;gm;  26;22,23;2242
